Densidad,Baja,Media,Alta
0,0.0,0.0,0.0
5,1.0,5.0,11.5
10,2.5,8.0,19.0
15,3.0,11.0,24.0
20,4.0,14.0,29.0
25,5.0,16.0,32.5
30,6.0,18.0,36.0
35,7.0,20.0,38.5
40,8.0,21.0,42.0
45,9.0,22.0,43.0
50,9.5,23.0,46.0
55,9.8,24.5,48.0
60,10.0,25.1,50.0
65,10.0,26.5,52.0
70,10.0,27.0,54.0
75,10.5,28.0,56.0
80,11.0,28.5,57.0
85,11.1,29.0,59.0
90,12.0,29.5,61.0
95,12.0,29.8,63.0
100,12.0,30.0,65.0
