Densidad,Baja,Media,Alta
0,0,0,0
10,7,7,7
20,12,12,12
30,17,17,17
40,22,22,22
50,26,26,26
60,30,30,30
70,32,32,32
80,35,35,35
90,38,38,38
100,39,39,39
