Densidad,Baja,Media,Alta
1,0.4,2.6,7.7
2,1.1,4.3,11.2
3,1.9,5.9,14.4
4,2.6,7.5,17.3
5,3.3,9.2,19.9
6,4.0,10.8,22.3
7,4.7,12.5,24.5
8,5.4,14.1,26.7
9,6.1,26.2,28.7
10,6.6,31.8,30.7
20,10.1,36.1,49.5
30,12.9,38.1,59.0
40,15.3,39.8,63.8
50,17.5,41.2,66.6
60,19.5,42.4,68.9
70,21.5,43.5,70.8
80,23.3,44.4,72.5
90,25.0,15.7,73.9
100,26.6,16.6,75.3
