Densidad,Baja,Media,Alta
25,0.5,0.5,0.5
30,1.0,1.0,1.0
35,1.4,1.4,1.4
40,1.8,1.8,1.8
45,2.1,2.1,2.1
50,2.4,2.4,2.4
55,2.6,2.6,2.6
60,2.9,2.9,2.9
65,3.1,3.1,3.1
70,3.3,3.3,3.3
75,3.5,3.5,3.5
80,3.6,3.6,3.6
85,3.8,3.8,3.8
90,4.0,4.0,4.0
95,4.1,4.1,4.1
100,4.3,4.3,4.3
