Densidad,Baja,Media,Alta
0,0.0,0.0,0.0
5,0.8,0.8,0.8
10,1.3,1.3,1.3
15,2.8,2.8,2.8
20,3.8,3.8,3.8
25,4.6,4.6,4.6
30,5.3,5.3,5.3
35,5.9,5.9,5.9
40,6.4,6.4,6.4
45,6.8,6.8,6.8
50,7.2,7.2,7.2
55,7.5,7.5,7.5
60,7.8,7.8,7.8
65,8.1,8.1,8.1
70,8.4,8.4,8.4
75,8.6,8.6,8.6
80,8.9,8.9,8.9
85,9.1,9.1,9.1
90,9.3,9.3,9.3
95,9.5,9.5,9.5
100,9.7,9.7,9.7
